时,分,秒,效用,北纬,东经,地面速率,航向,月日年,磁偏角
01,13,23,A,4047.533,11141.856,012.2,253.6,100517,*1A
01,13,23,A,4047.533,11141.856,1,05,1108,*57
01,13,23,A,4047.532,11141.852,011.3,254.3,100517,*1E
01,13,23,A,4047.532,11141.852,1,05,1106,*5D
01,13,23,A,4047.532,11141.852,011.3,254.3,100517,*1E
01,13,23,A,4047.532,11141.852,1,05,1106,*5D
01,13,24,A,4047.557,11141.837,012.3,252.0,100517,*17
01,13,24,A,4047.557,11141.837,1,06,1181,*5E
01,13,24,A,4047.563,11141.830,012.2,255.4,100517,*16
01,13,24,A,4047.563,11141.830,1,06,1199,*54
01,13,24,A,4047.561,11141.826,014.2,257.0,100517,*12
01,13,24,A,4047.561,11141.826,1,06,1195,*5C
01,13,24,A,4047.560,11141.821,014.5,258.9,100517,*12
01,13,24,A,4047.560,11141.821,1,06,1194,*5C
01,13,24,A,4047.559,11141.815,014.7,260.2,100517,*1C
01,13,24,A,4047.559,11141.815,1,06,1192,*56
01,13,24,A,4047.560,11141.810,014.6,259.4,100517,*1D
01,13,24,A,4047.560,11141.810,1,06,1194,*5C
01,13,24,A,4047.558,11141.806,013.9,252.7,100517,*10
01,13,24,A,4047.558,11141.806,1,06,1195,*50
01,13,24,A,4047.558,11141.800,014.7,257.7,100517,*15
01,13,24,A,4047.558,11141.800,1,06,1196,*5A
01,13,24,A,4047.555,11141.796,014.9,259.9,100517,*17
01,13,24,A,4047.555,11141.796,1,07,1184,*54
01,13,25,A,4047.551,11141.791,014.5,258.7,100517,*1F
01,13,25,A,4047.551,11141.791,1,07,1174,*50
01,13,25,A,4047.549,11141.787,012.9,254.0,100517,*11
01,13,25,A,4047.549,11141.787,1,07,1167,*5D
01,13,25,A,4047.547,11141.783,011.1,254.8,100517,*1B
01,13,25,A,4047.547,11141.783,1,08,1162,*5E
01,13,25,A,4047.548,11141.779,010.7,259.7,100517,*15
01,13,25,A,4047.548,11141.779,1,08,1159,*5D
01,13,25,A,4047.547,11141.776,009.6,273.7,100517,*13
01,13,25,A,4047.547,11141.776,1,08,1151,*52
01,13,25,A,4047.547,11141.771,009.3,298.6,100517,*14
01,13,25,A,4047.547,11141.771,1,08,1147,*53
01,13,25,A,4047.549,11141.769,011.0,327.2,100517,*1B
01,13,25,A,4047.549,11141.769,1,08,1147,*57
01,13,25,A,4047.552,11141.767,013.1,338.5,100517,*14
01,13,25,A,4047.552,11141.767,1,08,1147,*52
01,13,25,A,4047.556,11141.766,016.3,341.1,100517,*13
01,13,25,A,4047.556,11141.766,1,08,1146,*59
01,13,25,A,4047.560,11141.764,018.5,340.4,100517,*19
01,13,25,A,4047.560,11141.764,1,08,1145,*5C
01,13,30,A,4047.565,11141.762,020.1,339.9,100517,*1B
01,13,30,A,4047.565,11141.762,1,08,1144,*53
01,13,30,A,4047.571,11141.759,022.2,339.6,100517,*19
01,13,30,A,4047.571,11141.759,1,08,1144,*5F
01,13,30,A,4047.577,11141.757,022.7,339.2,100517,*13
01,13,30,A,4047.577,11141.757,1,08,1143,*53
01,13,30,A,4047.583,11141.754,023.3,338.7,100517,*1B
01,13,30,A,4047.583,11141.754,1,08,1142,*5B
01,13,30,A,4047.589,11141.751,022.5,339.4,100517,*16
01,13,30,A,4047.589,11141.751,1,08,1142,*53
01,13,30,A,4047.595,11141.748,022.2,339.1,100517,*10
01,13,30,A,4047.595,11141.748,1,08,1142,*57
01,13,30,A,4047.601,11141.746,021.9,339.9,100517,*13
01,13,30,A,4047.601,11141.746,1,08,1142,*54
01,13,30,A,4047.607,11141.743,021.4,340.3,100517,*18
01,13,30,A,4047.607,11141.743,1,08,1142,*56
01,13,30,A,4047.613,11141.741,020.6,341.2,100517,*13
01,13,30,A,4047.613,11141.741,1,08,1141,*5D
01,13,30,A,4047.618,11141.738,018.8,342.0,100517,*13
01,13,30,A,4047.618,11141.738,1,08,1142,*5A
01,13,31,A,4047.623,11141.737,016.5,342.1,100517,*1E
01,13,31,A,4047.623,11141.716,1,37,2767,74-
01,13,31,A,4047.627,11141.735,1,09,1140,*51
01,13,31,A,4047.631,11141.734,013.2,342.9,100517,*16
01,13,31,A,4047.631,11141.734,1,09,1140,*54
01,13,31,A,4047.634,11141.733,011.6,343.2,100517,*19
01,13,31,A,4047.634,11141.733,1,09,1139,*59
01,13,31,A,4047.637,11141.732,009.7,343.4,100517,*12
01,13,31,A,4047.637,11141.732,1,09,1139,*5C
01,13,31,A,4047.639,11141.731,008.0,343.5,100517,*19
01,13,31,A,4047.639,11141.731,1,10,1139,*58
01,13,31,A,4047.641,11141.730,007.1,343.4,100517,*1B
01,13,31,A,4047.641,11141.730,1,08,1140,*52
01,13,31,A,4047.643,11141.730,007.0,343.3,100517,*1E
01,13,31,A,4047.643,11141.730,1,08,1139,*5F
01,13,31,A,4047.645,11141.729,006.7,343.0,100517,*1A
01,13,31,A,4047.645,11141.729,1,08,1139,*5E
01,13,31,A,4047.646,11141.728,005.6,343.0,100517,*1B
01,13,31,A,4047.646,11141.728,1,08,1138,*5C
01,13,32,A,4047.647,11141.728,003.9,338.0,100517,*15
01,13,32,A,4047.647,11141.728,1,08,1137,*58
01,13,32,A,4047.648,11141.727,002.4,338.0,100517,*18
01,13,32,A,4047.648,11141.727,1,08,1137,*59
01,13,32,A,4047.648,11141.727,001.4,338.0,100517,*18
01,13,32,A,4047.648,11141.727,1,08,1136,*5B
01,13,32,A,4047.648,11141.727,000.9,338.0,100517,*15
01,13,32,A,4047.648,11141.727,1,09,1135,*58
01,13,32,A,4047.648,11141.727,000.9,338.0,100517,*12
01,13,32,A,4047.648,11141.727,1,09,1135,*5F
01,13,32,A,4047.617,11141.721,001.1,338.0,100517,*16
01,13,32,A,4047.617,11141.721,1,10,1132,*5D
01,13,32,A,4047.617,11141.720,001.1,338.0,100517,*14
01,13,32,A,4047.617,11141.720,1,09,1128,*5C
01,13,32,A,4047.617,11141.721,001.0,338.0,100517,*15
01,13,32,A,4047.617,11141.721,1,09,1122,*56
01,13,32,A,4047.618,11141.722,001.3,338.0,100517,*15
01,13,32,A,4047.618,11141.722,1,09,1119,*5D
01,13,32,A,4047.618,11141.722,001.5,338.0,100517,*12
01,13,32,A,4047.618,11141.722,1,09,1115,*50
01,13,33,A,4047.618,11141.723,000.0,338.0,100517,*1F
01,13,33,A,4047.618,11141.723,1,09,1113,*5F
01,13,33,A,4047.617,11141.726,000.0,338.0,100517,*14
01,13,33,A,4047.617,11141.726,1,10,1101,*5F
01,13,33,A,4047.616,11141.728,000.0,338.0,100517,*18
01,13,33,A,4047.616,11141.728,1,10,1092,*58
01,13,33,A,4047.617,11141.734,000.0,338.0,100517,*15
01,13,33,A,4047.617,11141.734,1,10,1071,*58
01,13,33,A,4047.617,11141.736,000.0,338.0,100517,*10
01,13,33,A,4047.617,11141.736,1,10,1063,*5E
01,13,33,A,4047.617,11141.736,000.1,338.0,100517,*10
01,13,33,A,4047.617,11141.736,1,10,1062,*5E
01,13,33,A,4047.618,11141.736,000.2,338.0,100517,*1F
01,13,33,A,4047.618,11141.736,1,10,1061,*51
01,13,33,A,4047.618,11141.736,000.3,338.0,100517,*1F
01,13,33,A,4047.618,11141.736,1,10,1060,*51
01,13,33,A,4047.619,11141.735,000.3,338.0,100517,*12
01,13,33,A,4047.619,11141.735,1,10,1060,*5C
01,13,33,A,4047.620,11141.735,000.1,338.0,100517,*1B
01,13,33,A,4047.620,11141.735,1,10,1059,*5D
01,13,34,A,4047.620,11141.735,000.0,338.0,100517,*14
01,13,34,A,4047.620,11141.735,1,09,1058,*5A
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*14
01,13,34,A,4047.621,11141.735,1,09,1058,*5A
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*17
01,13,34,A,4047.621,11141.735,1,09,1058,*59
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*16
01,13,34,A,2767.621,11141.735,1,09,1058,064
01,13,34,A,4047.621,11141.735,1,09,1058,*5F
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*10
01,13,34,A,4047.621,11141.735,1,09,1058,*5E
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*13
01,13,34,A,4047.621,11141.735,1,09,1058,*5D
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*12
01,13,34,A,4047.621,11141.735,1,09,1058,*5C
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*1D
01,13,34,A,4047.621,11141.735,1,09,1058,*53
01,13,34,A,4047.621,11141.735,000.0,338.0,100517,*1C
01,13,34,A,4047.621,11141.735,1,09,1058,*52
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*14
01,13,35,A,4047.621,11141.735,1,09,1058,*5A
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*15
01,13,35,A,4047.621,11141.735,1,09,1058,*5B
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*16
01,13,35,A,4047.621,11141.735,1,09,1058,*58
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*17
01,13,35,A,4047.621,11141.735,1,09,1058,*59
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*10
01,13,35,A,4047.621,11141.735,1,09,1058,*5E
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*11
01,13,35,A,4047.621,11141.735,1,09,1058,*5F
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*12
01,13,35,A,4047.621,11141.735,1,09,1058,*5C
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*13
01,13,35,A,4047.621,11141.735,1,10,1058,*55
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*1C
01,13,35,A,4047.621,11141.735,1,10,1058,*5A
01,13,35,A,4047.621,11141.735,000.0,338.0,100517,*1D
01,13,35,A,4047.621,11141.735,1,10,1058,*5B
01,13,40,A,4047.621,11141.735,000.0,338.0,100517,*16
01,13,40,A,4047.621,11141.735,1,10,1058,*50
